StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;GlobalObjExitTardiness
1179;2;1;815.3409;3261.3637;14411.8036;15826.8327;9.7413;3175.0884;11870.6173;9329.2942;1;0;21456.3005;-1435.7737
1180;3;0;1607.231;4821.6931;18332.9455;10220.3614;4.286;3030.873;10944.8017;9357.6587;4;0;21458.0969;-1437.526
1181;2;4;740.3409;2961.3637;13480.6217;14183.0146;8.7932;3005.873;11532.6494;8794.811;4;5;21458.0969;-1437.526
1182;2;5;707.9221;2831.6885;11626.03;13542.2815;8.186;2995.0667;11791.9997;8546.2669;5;5;21458.0969;-1437.526
1183;3;5;1550.9491;4652.8474;21666.3541;9430.7985;4.5338;3075.7379;11379.5791;8878.0163;5;5;21457.7667;-1441.393
1184;2;5;834.8346;3339.3382;10764.7566;14145.9052;7.7996;3050.7379;11517.1716;8765.4238;5;5;21457.7667;-1441.393
1185;3;5;1427.8645;4283.5934;23653.1911;7563.2155;3.7848;3069.7052;12167.4663;8096.1618;5;5;21454.4438;-1448.2408
1186;2;5;819.9277;3279.7109;12581.9685;12388.3206;6.8164;3002.4011;12335.6809;7995.2514;5;4;21454.4438;-1448.2408
1187;2;0;777.8334;3111.3335;10778.2102;11735.4562;6.2998;2988.3696;12672.4357;7672.528;0;4;21454.4438;-1448.2408
1188;3;4;1596.8712;4790.6137;24530.9005;9053.4858;4.2202;2913.3696;11845.105;7616.5254;2;4;21455.5865;-1447.261
1189;2;2;870.4657;3481.8628;9570.6069;12822.5302;6.1757;3138.3273;12333.9618;7944.3775;2;1;21455.5865;-1447.261
1190;3;1;1596.8712;4790.6137;24815.7144;8768.6718;4.1264;3063.3273;11506.6311;7888.3749;4;1;21456.7255;-1446.2846
1191;2;4;827.8775;3311.51;7803.7051;12134.7848;5.6467;3049.1312;11742.0696;7667.1325;4;4;21456.7255;-1446.2846
1192;3;4;1607.0406;4821.1219;24739.561;8814.3171;4.4144;3016.7124;10872.0076;7694.6133;4;4;21456.2902;-1443.5428
1193;3;3;1532.0406;4596.1219;22915.0581;7988.82;3.9183;2941.7124;10488.8399;7194.4476;4;3;21457.8565;-1442.1435
1194;3;1;1489.9463;4469.8389;20959.0966;7446.0646;3.5245;2899.6181;9963.1358;6887.2461;4;1;21454.9129;-1441.9257
1195;2;4;835.7374;3342.9496;8476.6429;11430.4075;5.1392;2904.904;10358.5558;7444.8736;4;1;21454.9129;-1441.9257
1196;3;1;1590.5875;4771.7624;20156.3699;8196.8677;3.5476;2829.904;9615.3294;7304.7666;5;1;21453.9724;-1443.0376
